nested_field2_size,nas_eps_seq_no_value,nas_eps_emm_esm_msg_cont_value,nas_eps_emm_imeisv_req_unmaskedvalue,gsm_a_dtap_time_zone_time_value,gsm_a_dtap_rand_value,nas_eps_msg_auth_code_show,nested_field4_value,gsm_a_dtap_time_zone_time_show,gsm_a_common_elem_id_unmaskedvalue,nested_field3_value,nested_field1_size,nested_field4_show,nas_eps_emm_elem_id_show,nas_eps_spare_bits_value,nested_field5_show,gsm_a_dtap_autn_show,nas_eps_nas_msg_emm_type_show,3gpp_tmsi_value,nested_field2_value,nas_eps_emm_hash_mme_value,nested_field1_show,gsm_a_len_show,nested_field4_size,nas_eps_emm_odd_even_unmaskedvalue,nas_eps_seq_no_show,gsm_a_dtap_text_string_show,nested_field5_size,nas_eps_emm_m_tmsi_show,nested_field1_value,nas_eps_security_header_type_unmaskedvalue,nested_field2_show,e212_tai_mnc_value,nas_eps_emm_res_show,label
2.0,3.0,57.0,1.0,322012919354.0,244.0,344.0,0.0,2.0,3.0,59.0,17.0,0.0,4.0,1.0,3.0,244.0,97.0,72.0,251.0,44.0,10.0,15.0,3.0,2.0,2.0,0.0,1.0,3221226578.0,208.0,27.0,3.0,1.0,71.0,0
7.0,3.0,57.0,1.0,327020325730.5,244.0,314.0,121.0,104.0,3.0,162.0,12.0,6.0,4.0,1.0,3.0,244.0,72.0,70.0,1.0,44.0,4.0,11.0,3.0,1.0,2.0,1.0,1.0,4026553537.0,154.0,17.0,2.0,1.0,71.0,1
3.0,4.0,0.0,1.0,327020325730.5,244.0,271.0,119.0,104.0,0.0,0.0,12.0,5.0,4.0,1.0,2.0,244.0,65.0,70.0,0.0,44.0,3.0,11.0,1.0,1.0,3.0,1.0,1.0,4026553537.0,154.0,17.0,5.0,1.0,71.0,1
7.0,5.0,6.0,1.0,327020325730.5,244.0,93.0,116.0,104.0,3.0,5.0,1.0,3.0,3.0,1.0,0.0,244.0,66.0,72.0,2.0,44.0,6.0,6.0,2.0,2.0,4.0,1.0,4.0,3221226578.0,219.0,27.0,4.0,0.0,71.0,1
7.0,5.0,1.0,1.0,327020325730.5,244.0,0.0,121.0,104.0,3.0,162.0,5.0,6.0,4.0,1.0,3.0,244.0,67.0,72.0,253.0,44.0,5.0,3.0,3.0,2.0,4.0,1.0,1.0,3221226578.0,0.0,27.0,7.0,1.0,71.0,1
2.0,6.0,57.0,1.0,322012912411.0,244.0,503.0,0.0,3.0,3.0,56.0,17.0,0.0,4.0,1.0,3.0,244.0,97.0,72.0,251.0,44.0,10.0,15.0,3.0,2.0,5.0,0.0,1.0,3221226578.0,208.0,27.0,3.0,1.0,71.0,1
7.0,6.0,57.0,1.0,327020325730.5,244.0,251.0,121.0,104.0,3.0,162.0,12.0,6.0,4.0,1.0,3.0,244.0,72.0,70.0,1.0,44.0,4.0,11.0,3.0,1.0,5.0,1.0,1.0,4026553537.0,154.0,17.0,2.0,1.0,71.0,1
7.0,28.0,57.0,1.0,327020325730.5,244.0,549.0,121.0,104.0,3.0,162.0,1.0,6.0,4.0,1.0,3.0,244.0,75.0,72.0,253.0,44.0,2.0,11.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,83.0,7.0,7.0,1.0,71.0,1
3.0,7.0,0.0,1.0,327020325730.5,244.0,212.0,119.0,104.0,0.0,0.0,12.0,5.0,4.0,1.0,2.0,244.0,65.0,70.0,0.0,44.0,3.0,11.0,1.0,1.0,6.0,1.0,1.0,4026553537.0,154.0,17.0,5.0,1.0,71.0,1
7.0,28.0,57.0,1.0,327020325730.5,244.0,549.0,121.0,104.0,3.0,162.0,12.0,6.0,4.0,1.0,3.0,244.0,85.0,72.0,253.0,44.0,12.0,11.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,396.0,7.0,7.0,1.0,71.0,1
7.0,28.0,57.0,1.0,327020325730.5,244.0,549.0,121.0,104.0,3.0,162.0,9.0,6.0,4.0,1.0,3.0,244.0,86.0,72.0,253.0,44.0,8.0,8.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,15.0,7.0,7.0,1.0,71.0,1
17.0,28.0,57.0,1.0,327020325730.5,157.0,549.0,121.0,104.0,3.0,162.0,16.0,6.0,4.0,1.0,3.0,17.0,82.0,72.0,23.0,44.0,0.0,16.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,309.0,7.0,0.0,1.0,71.0,1
7.0,28.0,57.0,1.0,327020325730.5,244.0,549.0,121.0,104.0,3.0,162.0,1.0,6.0,4.0,1.0,3.0,244.0,92.0,72.0,253.0,44.0,2.0,11.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,163.0,7.0,7.0,1.0,71.0,1
3.0,9.0,0.0,1.0,327020325730.5,244.0,57.0,119.0,104.0,0.0,0.0,12.0,5.0,4.0,1.0,2.0,244.0,65.0,70.0,0.0,44.0,3.0,11.0,1.0,1.0,8.0,1.0,1.0,4026553537.0,154.0,17.0,5.0,1.0,71.0,1
17.0,28.0,57.0,1.0,327020325730.5,84.0,549.0,121.0,104.0,3.0,162.0,16.0,6.0,4.0,1.0,3.0,24.0,82.0,72.0,30.0,44.0,0.0,16.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,236.0,7.0,0.0,1.0,71.0,1
3.0,11.0,0.0,1.0,327020325730.5,244.0,81.0,119.0,104.0,0.0,0.0,12.0,5.0,4.0,1.0,2.0,244.0,65.0,70.0,0.0,44.0,3.0,11.0,1.0,1.0,10.0,1.0,1.0,4026553537.0,154.0,17.0,5.0,1.0,71.0,1
17.0,28.0,57.0,1.0,327020325730.5,44.0,549.0,121.0,104.0,3.0,162.0,16.0,6.0,4.0,1.0,3.0,70.0,82.0,72.0,76.0,44.0,0.0,16.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,192.0,7.0,0.0,1.0,71.0,1
3.0,13.0,0.0,1.0,327020325730.5,244.0,107.0,119.0,104.0,0.0,0.0,12.0,5.0,4.0,1.0,2.0,244.0,65.0,70.0,0.0,44.0,3.0,11.0,1.0,1.0,12.0,1.0,1.0,4026553537.0,154.0,17.0,5.0,1.0,71.0,1
17.0,28.0,57.0,1.0,327020325730.5,129.0,549.0,121.0,104.0,3.0,162.0,16.0,6.0,4.0,1.0,3.0,175.0,82.0,72.0,181.0,44.0,0.0,16.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,281.0,7.0,0.0,1.0,71.0,1
3.0,28.0,0.0,1.0,327020325730.5,244.0,549.0,121.0,104.0,3.0,0.0,9.0,6.0,4.0,71.0,3.0,244.0,65.0,72.0,0.0,44.0,3.0,8.0,3.0,0.0,3.0,1.0,1.0,3221226578.0,15.0,7.0,5.0,1.0,71.0,1
17.0,28.0,57.0,1.0,327020325730.5,65.0,549.0,121.0,104.0,3.0,162.0,16.0,6.0,4.0,1.0,3.0,207.0,82.0,72.0,213.0,44.0,0.0,16.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,214.0,7.0,0.0,1.0,71.0,1
17.0,28.0,57.0,1.0,327020325730.5,117.0,549.0,121.0,104.0,3.0,162.0,16.0,6.0,4.0,1.0,3.0,208.0,82.0,72.0,214.0,44.0,0.0,16.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,269.0,7.0,0.0,1.0,71.0,1
17.0,28.0,57.0,1.0,327020325730.5,242.0,549.0,121.0,104.0,3.0,162.0,16.0,6.0,4.0,1.0,3.0,151.0,82.0,72.0,157.0,44.0,0.0,16.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,394.0,7.0,0.0,1.0,71.0,1
17.0,28.0,57.0,1.0,327020325730.5,51.0,549.0,121.0,104.0,3.0,162.0,16.0,6.0,4.0,1.0,3.0,125.0,82.0,72.0,131.0,44.0,0.0,16.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,199.0,7.0,0.0,1.0,71.0,1
17.0,28.0,57.0,1.0,327020325730.5,178.0,549.0,121.0,104.0,3.0,162.0,16.0,6.0,4.0,1.0,3.0,188.0,82.0,72.0,194.0,44.0,0.0,16.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,330.0,7.0,0.0,1.0,71.0,1
7.0,28.0,57.0,1.0,327020325730.5,244.0,549.0,121.0,104.0,3.0,162.0,9.0,6.0,4.0,1.0,3.0,244.0,69.0,72.0,253.0,44.0,3.0,8.0,3.0,0.0,3.0,1.0,1.0,3221226578.0,15.0,7.0,7.0,1.0,71.0,1
3.0,28.0,0.0,1.0,327020325730.5,244.0,549.0,121.0,104.0,3.0,0.0,9.0,6.0,4.0,71.0,3.0,244.0,65.0,72.0,0.0,44.0,3.0,8.0,3.0,0.0,3.0,1.0,1.0,3221226578.0,15.0,7.0,5.0,1.0,71.0,0
17.0,28.0,57.0,1.0,327020325730.5,79.0,549.0,121.0,104.0,3.0,162.0,16.0,6.0,4.0,1.0,3.0,236.0,82.0,72.0,242.0,44.0,0.0,16.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,229.0,7.0,0.0,1.0,71.0,0
7.0,28.0,57.0,1.0,327020325730.5,244.0,549.0,121.0,104.0,3.0,162.0,9.0,6.0,4.0,1.0,3.0,244.0,83.0,72.0,253.0,44.0,1.0,8.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,66.0,7.0,7.0,1.0,54.0,0
3.0,1.0,57.0,0.0,327020325730.5,244.0,37.0,29.0,104.0,2.0,161.0,1.0,4.0,0.0,2.0,3.0,244.0,93.0,72.0,0.0,27.0,9.0,2.0,10.0,2.0,0.0,1.0,1.0,3221226578.0,4.0,37.0,6.0,1.0,71.0,0
7.0,2.0,2.0,1.0,327020325730.5,244.0,238.0,104.0,104.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,244.0,66.0,59.0,4.0,44.0,6.0,6.0,13.0,1.0,1.0,1.0,4.0,3221227301.0,219.0,27.0,4.0,0.0,71.0,0
2.0,3.0,57.0,1.0,326002810521.0,244.0,140.0,0.0,87.0,3.0,61.0,17.0,0.0,4.0,1.0,3.0,244.0,97.0,72.0,250.0,44.0,10.0,15.0,3.0,2.0,2.0,0.0,1.0,3221226578.0,208.0,27.0,3.0,1.0,71.0,0
7.0,3.0,57.0,1.0,327020325730.5,244.0,523.0,121.0,104.0,3.0,162.0,12.0,6.0,4.0,1.0,3.0,244.0,72.0,59.0,1.0,44.0,4.0,11.0,3.0,1.0,2.0,1.0,1.0,3221227301.0,143.0,17.0,2.0,1.0,71.0,0
4.0,4.0,57.0,1.0,327020325730.5,244.0,343.0,121.0,104.0,3.0,160.0,8.0,6.0,2.0,1.0,3.0,244.0,73.0,72.0,252.0,44.0,11.0,6.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,233.0,27.0,1.0,0.0,71.0,0
3.0,4.0,0.0,1.0,327020325730.5,244.0,105.0,119.0,104.0,0.0,0.0,12.0,5.0,4.0,1.0,2.0,244.0,65.0,59.0,0.0,44.0,3.0,11.0,1.0,1.0,3.0,1.0,1.0,3221227301.0,143.0,17.0,5.0,1.0,71.0,0
7.0,5.0,2.0,1.0,327020325730.5,244.0,40.0,117.0,104.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,244.0,66.0,72.0,4.0,44.0,6.0,6.0,4.0,2.0,4.0,1.0,1.0,3221226578.0,219.0,27.0,4.0,0.0,71.0,0
7.0,5.0,1.0,1.0,327020325730.5,244.0,0.0,121.0,104.0,3.0,162.0,5.0,6.0,4.0,1.0,3.0,244.0,67.0,72.0,253.0,44.0,5.0,3.0,3.0,2.0,4.0,1.0,1.0,3221226578.0,0.0,27.0,7.0,1.0,71.0,0
2.0,6.0,57.0,1.0,326002814551.0,244.0,108.0,0.0,88.0,3.0,62.0,17.0,0.0,4.0,1.0,3.0,244.0,97.0,72.0,250.0,44.0,10.0,15.0,3.0,2.0,5.0,0.0,1.0,3221226578.0,208.0,27.0,3.0,1.0,71.0,0
7.0,6.0,57.0,1.0,327020325730.5,244.0,130.0,121.0,104.0,3.0,162.0,12.0,6.0,4.0,1.0,3.0,244.0,72.0,59.0,1.0,44.0,4.0,11.0,3.0,1.0,5.0,1.0,1.0,3221227301.0,143.0,17.0,2.0,1.0,71.0,1
3.0,7.0,0.0,1.0,327020325730.5,244.0,125.0,119.0,104.0,0.0,0.0,12.0,5.0,4.0,1.0,2.0,244.0,65.0,59.0,0.0,44.0,3.0,11.0,1.0,1.0,6.0,1.0,1.0,3221227301.0,143.0,17.0,5.0,1.0,71.0,1
17.0,28.0,57.0,1.0,327020325730.5,130.0,549.0,121.0,104.0,3.0,162.0,16.0,6.0,4.0,1.0,3.0,203.0,82.0,72.0,209.0,44.0,0.0,16.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,282.0,7.0,0.0,1.0,71.0,1
3.0,9.0,0.0,1.0,327020325730.5,244.0,484.0,119.0,104.0,0.0,0.0,12.0,5.0,4.0,1.0,2.0,244.0,65.0,59.0,0.0,44.0,3.0,11.0,1.0,1.0,8.0,1.0,1.0,3221227301.0,143.0,17.0,5.0,1.0,71.0,1
17.0,28.0,57.0,1.0,327020325730.5,49.0,549.0,121.0,104.0,3.0,162.0,16.0,6.0,4.0,1.0,3.0,136.0,82.0,72.0,142.0,44.0,0.0,16.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,197.0,7.0,0.0,1.0,71.0,1
3.0,11.0,0.0,1.0,327020325730.5,244.0,507.0,119.0,104.0,0.0,0.0,12.0,5.0,4.0,1.0,2.0,244.0,65.0,59.0,0.0,44.0,3.0,11.0,1.0,1.0,10.0,1.0,1.0,3221227301.0,143.0,17.0,5.0,1.0,71.0,1
17.0,28.0,57.0,1.0,327020325730.5,166.0,549.0,121.0,104.0,3.0,162.0,16.0,6.0,4.0,1.0,3.0,218.0,82.0,72.0,224.0,44.0,0.0,16.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,318.0,7.0,0.0,1.0,71.0,1
3.0,13.0,0.0,1.0,327020325730.5,244.0,116.0,119.0,104.0,0.0,0.0,12.0,5.0,4.0,1.0,2.0,244.0,65.0,59.0,0.0,44.0,3.0,11.0,1.0,1.0,12.0,1.0,1.0,3221227301.0,143.0,17.0,5.0,1.0,71.0,1
17.0,28.0,57.0,1.0,327020325730.5,106.0,549.0,121.0,104.0,3.0,162.0,16.0,6.0,4.0,1.0,3.0,54.0,82.0,72.0,60.0,44.0,0.0,16.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,258.0,7.0,0.0,1.0,71.0,1
17.0,28.0,57.0,1.0,327020325730.5,194.0,549.0,121.0,104.0,3.0,162.0,16.0,6.0,4.0,1.0,3.0,122.0,82.0,72.0,128.0,44.0,0.0,16.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,346.0,7.0,0.0,1.0,71.0,0
7.0,28.0,57.0,1.0,327020325730.5,244.0,549.0,121.0,104.0,3.0,162.0,9.0,6.0,4.0,1.0,3.0,244.0,83.0,72.0,253.0,44.0,1.0,8.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,45.0,7.0,7.0,1.0,33.0,0
3.0,1.0,57.0,0.0,327020325730.5,244.0,39.0,29.0,104.0,2.0,161.0,1.0,4.0,0.0,2.0,3.0,244.0,93.0,72.0,0.0,27.0,9.0,2.0,10.0,2.0,0.0,1.0,1.0,3221226578.0,4.0,37.0,6.0,1.0,71.0,0
7.0,2.0,3.0,1.0,327020325730.5,244.0,326.0,91.0,104.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,244.0,66.0,46.0,4.0,44.0,6.0,6.0,13.0,1.0,1.0,1.0,4.0,3221227068.0,219.0,27.0,4.0,0.0,71.0,0
2.0,3.0,57.0,1.0,326002911133.0,244.0,530.0,0.0,89.0,3.0,64.0,17.0,0.0,4.0,1.0,3.0,244.0,97.0,72.0,250.0,44.0,10.0,15.0,3.0,2.0,2.0,0.0,1.0,3221226578.0,208.0,27.0,3.0,1.0,71.0,0
7.0,3.0,57.0,1.0,327020325730.5,244.0,247.0,121.0,104.0,3.0,162.0,12.0,6.0,4.0,1.0,3.0,244.0,72.0,46.0,1.0,44.0,4.0,11.0,3.0,1.0,2.0,1.0,1.0,3221227068.0,131.0,17.0,2.0,1.0,71.0,1
3.0,4.0,0.0,1.0,327020325730.5,244.0,196.0,119.0,104.0,0.0,0.0,12.0,5.0,4.0,1.0,2.0,244.0,65.0,46.0,0.0,44.0,3.0,11.0,1.0,1.0,3.0,1.0,1.0,3221227068.0,131.0,17.0,5.0,1.0,71.0,1
17.0,28.0,57.0,1.0,327020325730.5,7.0,549.0,121.0,104.0,3.0,162.0,16.0,6.0,4.0,1.0,3.0,34.0,82.0,72.0,40.0,44.0,0.0,16.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,9.0,7.0,0.0,1.0,71.0,1
3.0,6.0,0.0,1.0,327020325730.5,244.0,17.0,119.0,104.0,0.0,0.0,12.0,5.0,4.0,1.0,2.0,244.0,65.0,46.0,0.0,44.0,3.0,11.0,1.0,1.0,5.0,1.0,1.0,3221227068.0,131.0,17.0,5.0,1.0,71.0,1
17.0,28.0,57.0,1.0,327020325730.5,71.0,549.0,121.0,104.0,3.0,162.0,16.0,6.0,4.0,1.0,3.0,33.0,82.0,72.0,39.0,44.0,0.0,16.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,221.0,7.0,0.0,1.0,71.0,1
3.0,8.0,0.0,1.0,327020325730.5,244.0,6.0,119.0,104.0,0.0,0.0,12.0,5.0,4.0,1.0,2.0,244.0,65.0,46.0,0.0,44.0,3.0,11.0,1.0,1.0,7.0,1.0,1.0,3221227068.0,131.0,17.0,5.0,1.0,71.0,1
17.0,28.0,57.0,1.0,327020325730.5,158.0,549.0,121.0,104.0,3.0,162.0,16.0,6.0,4.0,1.0,3.0,78.0,82.0,72.0,84.0,44.0,0.0,16.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,310.0,7.0,0.0,1.0,71.0,1
3.0,10.0,0.0,1.0,327020325730.5,244.0,124.0,119.0,104.0,0.0,0.0,12.0,5.0,4.0,1.0,2.0,244.0,65.0,46.0,0.0,44.0,3.0,11.0,1.0,1.0,9.0,1.0,1.0,3221227068.0,131.0,17.0,5.0,1.0,71.0,1
17.0,28.0,57.0,1.0,327020325730.5,38.0,549.0,121.0,104.0,3.0,162.0,16.0,6.0,4.0,1.0,3.0,139.0,82.0,72.0,145.0,44.0,0.0,16.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,186.0,7.0,0.0,1.0,71.0,1
17.0,28.0,57.0,1.0,327020325730.5,68.0,549.0,121.0,104.0,3.0,162.0,16.0,6.0,4.0,1.0,3.0,95.0,82.0,72.0,101.0,44.0,0.0,16.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,217.0,7.0,0.0,1.0,71.0,0
7.0,28.0,57.0,1.0,327020325730.5,244.0,549.0,121.0,104.0,3.0,162.0,9.0,6.0,4.0,1.0,3.0,244.0,83.0,72.0,253.0,44.0,1.0,8.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,37.0,7.0,7.0,1.0,26.0,0
3.0,1.0,57.0,0.0,327020325730.5,244.0,10.0,29.0,104.0,2.0,161.0,1.0,4.0,0.0,2.0,3.0,244.0,93.0,72.0,0.0,27.0,9.0,2.0,10.0,2.0,0.0,1.0,1.0,3221226578.0,4.0,37.0,6.0,1.0,71.0,0
7.0,2.0,5.0,1.0,327020325730.5,244.0,393.0,67.0,104.0,3.0,4.0,1.0,1.0,1.0,1.0,0.0,244.0,66.0,22.0,4.0,44.0,6.0,6.0,13.0,1.0,1.0,1.0,4.0,3221226214.0,219.0,27.0,4.0,0.0,71.0,0
2.0,3.0,57.0,1.0,326002910304.0,244.0,62.0,0.0,90.0,3.0,63.0,17.0,0.0,4.0,1.0,3.0,244.0,97.0,72.0,250.0,44.0,10.0,15.0,3.0,2.0,2.0,0.0,1.0,3221226578.0,208.0,27.0,3.0,1.0,71.0,0
